StandID,INVYR,TRAIN
22954433010497_1,2007,train
22954433010497_2,2007,train
22954433010497_3,2007,train
29882615010497_3,2009,train
40220492010497_1,2010,train
40220492010497_2,2010,train
40220492010497_3,2010,train
40220492010497_4,2010,train
22954463010497_1,2006,train
22954463010497_2,2006,train
22954463010497_3,2006,train
22954463010497_4,2006,train
12988512010497_1,2005,train
12988512010497_3,2005,train
22933141010497_2,2008,train
22933141010497_3,2008,train
22933141010497_4,2008,train
24192363010900_2,2002,train
24192363010900_3,2002,train
24192363010900_4,2002,train
29883212010497_1,2009,train
29883212010497_2,2009,train
29883212010497_3,2009,train
29883212010497_4,2009,train
40220686010497_1,2010,train
40220686010497_2,2010,train
40220686010497_3,2010,train
40220686010497_4,2010,train
29882865010497_1,2009,train
29882865010497_2,2009,train
29882865010497_3,2009,train
29882865010497_4,2009,train
24170347010900_1,2002,train
24170347010900_4,2002,train
22930926010497_4,2008,train
25096791010900_1,2004,train
25096791010900_2,2004,train
25096791010900_3,2004,train
22954335010497_2,2007,train
22954335010497_3,2007,train
22954335010497_4,2007,train
8622542010901_1,2006,train
8622542010901_2,2006,train
8622542010901_3,2006,train
8622542010901_4,2006,train
22932994010497_1,2008,train
22932994010497_2,2008,train
22932994010497_3,2008,train
22932994010497_4,2008,train
24150101010900_1,2002,train
24150101010900_2,2002,train
22399275010497_1,2006,train
22399275010497_2,2006,train
24183298010900_1,2002,train
24183298010900_2,2002,train
24183298010900_3,2002,train
24183298010900_4,2002,train
13196865010497_3,2004,train
29883427010497_1,2009,train
29883427010497_3,2009,train
29883427010497_4,2009,train
40220851010497_2,2010,train
24840869010900_1,2004,train
24840869010900_2,2004,train
24840869010900_3,2004,train
22954754010497_2,2007,train
22954754010497_4,2007,train
13005723010497_1,2005,train
13005723010497_3,2005,train
13005723010497_4,2005,train
24466222010900_2,2003,train
24466222010900_3,2003,train
24466222010900_4,2003,train
24854727010900_3,2004,train
22932909010497_1,2008,train
22932909010497_2,2008,train
22932909010497_4,2008,train
29881470010497_1,2009,train
29881470010497_2,2009,train
29881470010497_3,2009,train
29881470010497_4,2009,train
22828585010497_2,2007,train
22828585010497_3,2007,train
22828585010497_4,2007,train
29882048010497_1,2009,train
29882048010497_2,2009,train
29882048010497_3,2009,train
29882048010497_4,2009,train
40220639010497_2,2010,train
40220639010497_4,2010,train
29883171010497_2,2009,train
29883171010497_4,2009,train
22954388010497_2,2007,train
22954388010497_3,2007,train
22954388010497_4,2007,train
22930950010497_2,2008,train
22930950010497_3,2008,train
22930950010497_4,2008,train
24468462010900_1,2003,train
24468462010900_2,2003,train
24468462010900_3,2003,train
24468462010900_4,2003,train
22933188010497_1,2008,train
22933188010497_2,2008,train
22933188010497_4,2008,train
29881797010497_1,2009,train
29881797010497_2,2009,train
29881797010497_3,2009,train
29881797010497_4,2009,train
13024455010497_1,2005,train
13024455010497_2,2005,train
13024455010497_3,2005,train
13024455010497_4,2005,train
13204702010497_1,2005,train
13204702010497_2,2005,train
13204702010497_3,2005,train
13204702010497_4,2005,train
29395714010497_3,2008,train
29395714010497_4,2008,train
22933002010497_1,2008,train
24831181010900_1,2004,train
24831181010900_3,2004,train
24831181010900_4,2004,train
22398409010497_1,2003,train
22398409010497_2,2003,train
22398409010497_4,2003,train
22398852010497_1,2004,train
22398852010497_2,2004,train
29883338010497_1,2009,train
29883338010497_2,2009,train
29883338010497_3,2009,train
8651533010901_1,2006,train
8651533010901_3,2006,train
8651533010901_4,2006,train
8646314010901_1,2006,train
8646314010901_3,2006,train
25071709010900_1,2004,train
25071709010900_4,2004,train
40220086010497_2,2010,train
40220086010497_4,2010,train
25078802010900_2,2004,train
24853169010900_2,2004,train
24853169010900_3,2004,train
24853169010900_4,2004,train
24495364010900_1,2003,train
24495364010900_2,2003,train
24495364010900_3,2003,train
24495364010900_4,2003,train
29882996010497_1,2009,train
29882996010497_2,2009,train
29882996010497_3,2009,train
29882996010497_4,2009,train
12980320010497_1,2005,train
12980320010497_2,2005,train
12980320010497_3,2005,train
12980320010497_4,2005,train
22398942010497_1,2005,train
22398942010497_4,2005,train
13016502010497_2,2005,train
13016502010497_3,2005,train
22398849010497_2,2004,train
22398849010497_3,2004,train
29395670010497_1,2008,train
29395670010497_2,2008,train
29395670010497_3,2008,train
29395670010497_4,2008,train
29883153010497_1,2009,train
29883153010497_3,2009,train
29883153010497_4,2009,train
24123201010900_1,2002,train
24123201010900_2,2002,train
24123201010900_3,2002,train
24123201010900_4,2002,train
13195112010497_3,2004,train
22398949010497_1,2005,train
22398949010497_4,2005,train
29395691010497_3,2008,train
8643546010901_1,2006,train
8643546010901_2,2006,train
8643546010901_3,2006,train
29394996010497_2,2008,train
29394996010497_3,2008,train
29883116010497_1,2009,train
29883116010497_2,2009,train
29883116010497_3,2009,train
29883116010497_4,2009,train
22954588010497_1,2007,train
22954588010497_2,2007,train
22954588010497_3,2007,train
22954588010497_4,2007,train
25070007010900_1,2004,train
25070007010900_2,2004,train
25070007010900_3,2004,train
25070007010900_4,2004,train
22398415010497_1,2003,train
22398415010497_2,2003,train
22398415010497_3,2003,train
22398415010497_4,2003,train
22398967010497_2,2005,train
22398967010497_3,2005,train
22398967010497_4,2005,train
24185085010900_1,2002,train
24185085010900_2,2002,train
24185085010900_3,2002,train
40220791010497_1,2010,train
40220791010497_3,2010,train
40220791010497_4,2010,train
22827727010497_1,2007,train
22827727010497_2,2007,train
40220671010497_1,2010,train
40220671010497_2,2010,train
40220671010497_3,2010,train
40220671010497_4,2010,train
29882807010497_3,2009,train
